PREFIJO;LOCALIDAD;PROVINCIA
2254;CARILO;BUENOS AIRES
2254;PINAMAR;BUENOS AIRES
2255;VILLA GESELL;BUENOS AIRES
2257;MAR DE AJO;BUENOS AIRES
2257;SAN BERNARDO;BUENOS AIRES
2261;LOBERIA;BUENOS AIRES
2261;NAPALEOFU;BUENOS AIRES
2261;SAN MANUEL;BUENOS AIRES
2262;NECOCHEA;BUENOS AIRES
2262;PIERES;BUENOS AIRES
2264;CLARAZ;BUENOS AIRES
2264;JUAN N. FERNANDEZ;BUENOS AIRES
2264;LA DULCE;BUENOS AIRES
2264;RAMON SANTAMARINA;BUENOS AIRES
2265;CORONEL VIDAL;BUENOS AIRES
2265;GENERAL PIRAN;BUENOS AIRES
2265;VIVORATA;BUENOS AIRES
2266;BALCARCE;BUENOS AIRES
2266;LAS PIEDRITAS;BUENOS AIRES
2266;LOS PINOS;BUENOS AIRES
2266;MECHONGUE;BUENOS AIRES
2266;SAN AGUSTIN;BUENOS AIRES
2267;GENERAL MADARIAGA;BUENOS AIRES
2268;GENERAL GUIDO;BUENOS AIRES
2268;LABARDEN;BUENOS AIRES
2268;LAS ARMAS;BUENOS AIRES
2268;MAIPU;BUENOS AIRES
2268;SANTO DOMINGO;BUENOS AIRES
2271;ABBOTT;BUENOS AIRES
2271;GORCHS;BUENOS AIRES
2271;MONTE;BUENOS AIRES
2272;LAS MARIANAS;BUENOS AIRES
2272;NAVARRO;BUENOS AIRES
2272;VILLA MOLL;BUENOS AIRES
2273;CARMEN DE ARECO;BUENOS AIRES
2273;TRES SARGENTOS;BUENOS AIRES
2274;CARLOS SPEGAZZINI;BUENOS AIRES
2281;AZUL;BUENOS AIRES
2281;CACHARI;BUENOS AIRES
2281;CHILLAR;BUENOS AIRES
2283;TAPALQUE;BUENOS AIRES
2284;HINOJO;BUENOS AIRES
2284;OLAVARRIA;BUENOS AIRES
2284;SIERRAS BAYAS;BUENOS AIRES
2284;VILLA FORTABAT;BUENOS AIRES
2285;LAPRIDA;BUENOS AIRES
2286;GENERAL LAMADRID;BUENOS AIRES
2286;LA COLINA;BUENOS AIRES
2286;LAS MARTINETAS;BUENOS AIRES
2286;LIBANO;BUENOS AIRES
2286;SAN JORGE;BUENOS AIRES
2291;COMANDANTE N. OTAMENDI;BUENOS AIRES
2291;MAR DEL SUR;BUENOS AIRES
2291;MIRAMAR;BUENOS AIRES
2291;SAN EDUARDO DEL MAR;BUENOS AIRES
2292;BENITO JUAREZ;BUENOS AIRES
2292;VILLA CACIQUE;BUENOS AIRES
2296;AYACUCHO;BUENOS AIRES
2297;RAUCH;BUENOS AIRES
230;DERQUI;BUENOS AIRES
230;FATIMA;BUENOS AIRES
230;LA LONJA;BUENOS AIRES
230;LOS CARDALES;BUENOS AIRES
230;PARQUE INDUSTRIAL PILAR;BUENOS AIRES
230;PILAR;BUENOS AIRES
230;VILLA ROSA;BUENOS AIRES
2302;AGUSTONI;LA PAMPA
2302;ALTA ITALIA;LA PAMPA
2302;BERNARDO LARROUDE;LA PAMPA
2302;CEBALLOS;LA PAMPA
2302;DORILA;LA PAMPA
2302;GENERAL PICO;LA PAMPA
2302;GONZALEZ MORENO;LA PAMPA
2302;INTENDENTE ALVEAR;LA PAMPA
2302;METILEO;LA PAMPA
2302;SPELUZZI;LA PAMPA
2302;TREBOLARES;LA PAMPA
2302;TRENEL;LA PAMPA
2302;VERTIZ;LA PAMPA
2314;BOLIVAR;BUENOS AIRES
2314;ESPIGAS;BUENOS AIRES
2314;HALE;BUENOS AIRES
2314;HENDERSON;BUENOS AIRES
2314;PIROVANO;BUENOS AIRES
2314;RECALDE;BUENOS AIRES
2314;URDAMPILLETA;BUENOS AIRES
2316;ARBOLEDAS;BUENOS AIRES
2316;DAIREAUX;BUENOS AIRES
2317;12 DE OCTUBRE;BUENOS AIRES
2317;9 DE JULIO;BUENOS AIRES
2317;CARLOS MARIA NAON;BUENOS AIRES
2317;DENNEHY;BUENOS AIRES
2317;DUDIGNAC;BUENOS AIRES
2317;FRENCH;BUENOS AIRES
2317;LA NIÑA;BUENOS AIRES
2317;MOREA;BUENOS AIRES
2317;NORUMBEGA;BUENOS AIRES
2317;PATRICIOS;BUENOS AIRES
2317;QUIROGA;BUENOS AIRES
2317;TROPEZON;BUENOS AIRES
2320;DEL VISO;BUENOS AIRES
2320;GRAND BOURG;BUENOS AIRES
2320;JOSE C. PAZ;BUENOS AIRES
2320;TORTUGUITAS;BUENOS AIRES
2323;BRAHMA;BUENOS AIRES
2323;CAPILLA DEL SEÑOR;BUENOS AIRES
2323;CARLOS KEEN;BUENOS AIRES
2323;FLANDRIA;BUENOS AIRES
2323;LUJAN;BUENOS AIRES
2323;OLIVERA;BUENOS AIRES
2323;OPEN DOOR;BUENOS AIRES
2323;PARADA ROBLES;BUENOS AIRES
2323;TORRES;BUENOS AIRES
2323;VILLA RUIZ;BUENOS AIRES
2324;CASTILLA;BUENOS AIRES
2324;GENERAL RIVAS;BUENOS AIRES
2324;MERCEDES;BUENOS AIRES
2324;SUIPACHA;BUENOS AIRES
2325;AZCUENAGA;BUENOS AIRES
2325;CUCULLU;BUENOS AIRES
2325;SAN ANDRES DE GILES;BUENOS AIRES
2326;DUGGAN;BUENOS AIRES
2326;SAN ANTONIO DE ARECO;BUENOS AIRES
2326;SOLIS;BUENOS AIRES
2326;VILLA LIA;BUENOS AIRES
2331;ADOLFO VAN PRAET;LA PAMPA
2331;CORONEL HILARIO LAGOS;LA PAMPA
2331;CHAMAICO;LA PAMPA
2331;DAMIAN MAISONAVE;LA PAMPA
2331;FALUCHO;LA PAMPA
2331;PARERA;LA PAMPA
2331;QUETREQUEN;LA PAMPA
2331;RANCUL;LA PAMPA
2331;REALICO;LA PAMPA
2333;COLONIA BARON;LA PAMPA
2333;MAURICIO MAYER;LA PAMPA
2333;MIGUEL CANE;LA PAMPA
2333;QUEMU QUEMU;LA PAMPA
2333;VILLA MIRASOL;LA PAMPA
2333;WINIFREDA;LA PAMPA
2334;CONHELLO;LA PAMPA
2334;EDUARDO CASTEX;LA PAMPA
2334;MONTE NIEVAS;LA PAMPA
2335;ARATA;LA PAMPA
2335;CALEUFU;LA PAMPA
2335;EMBAJADOR MARTINI;LA PAMPA
2335;INGENIERO LUIGGI;LA PAMPA
2335;LA MARUJA;LA PAMPA
2335;PARAJE LOS HORNOS;LA PAMPA
2335;PICHI HUINCA;LA PAMPA
2336;HUINCA RENANCO;CORDOBA
2336;PINCEN;CORDOBA
2336;VILLA HUIDOBRO;CORDOBA
2337;AMERICA;BUENOS AIRES
2337;FORTIN OLAVARRIA;BUENOS AIRES
2337;ROOSEVELT;BUENOS AIRES
2337;SANSINENA;BUENOS AIRES
2338;ALGARROBO DEL AGUILA;LA PAMPA
2338;CARRO QUEMADO;LA PAMPA
2338;EL DURAZNO;LA PAMPA
2338;JAGUEL DEL MONTE;LA PAMPA
2338;LA HUMADA;LA PAMPA
2338;LA REFORMA;LA PAMPA
2338;LUAN TORO;LA PAMPA
2338;PUELEN;LA PAMPA
2338;SANTA ISABEL;LA PAMPA
2338;TELEN;LA PAMPA
2338;VICTORICA;LA PAMPA
2342;BRAGADO;BUENOS AIRES
2342;COMODORO PY;BUENOS AIRES
2342;MECHITA;BUENOS AIRES
2342;O' BRIEN;BUENOS AIRES
2342;WARNES;BUENOS AIRES
2343;ELVIRA;BUENOS AIRES
2343;ERNESTINA;BUENOS AIRES
2343;NORBERTO DE LA RIESTRA;BUENOS AIRES
2343;PEDERNALES;BUENOS AIRES
2344;ALVAREZ DE TOLEDO;BUENOS AIRES
2344;CAZON;BUENOS AIRES
2344;DEL CARRIL;BUENOS AIRES
2344;GENERAL ALVEAR;BUENOS AIRES
2344;POLVAREDAS;BUENOS AIRES
2344;SALADILLO;BUENOS AIRES
2345;25 DE MAYO;BUENOS AIRES
2345;MOSCONI;BUENOS AIRES
2345;PUEBLO DEL VALLE;BUENOS AIRES
2345;SAN ENRIQUE;BUENOS AIRES
2345;VALDES;BUENOS AIRES
2346;ALBERTI;BUENOS AIRES
2346;BENITEZ;BUENOS AIRES
2346;CORONEL MOM;BUENOS AIRES
2346;CHIVILCOY;BUENOS AIRES
2346;GOBERNADOR UGARTE;BUENOS AIRES
2346;GOROSTIAGA;BUENOS AIRES
2346;LA RICA;BUENOS AIRES
2346;MOQUEHUA;BUENOS AIRES
2346;PALEMON HUERGO;BUENOS AIRES
2346;PLA;BUENOS AIRES
2346;RAMON BIAUS;BUENOS AIRES
2346;SAN SEBASTIAN;BUENOS AIRES
2352;CUCHA CUCHA;BUENOS AIRES
2352;CHACABUCO;BUENOS AIRES
2352;IRALA;BUENOS AIRES
2352;RAWSON;BUENOS AIRES
2353;ARRIBEÑOS;BUENOS AIRES
2353;ASCENCION;BUENOS AIRES
2353;FERRE;BUENOS AIRES
2353;FORTIN TIBURCIO;BUENOS AIRES
2353;GENERAL ARENALES;BUENOS AIRES
2353;LA ANGELITA;BUENOS AIRES
2354;EL DORADO;BUENOS AIRES
2354;IRIARTE;BUENOS AIRES
2354;JUAN B. ALBERDI;BUENOS AIRES
2354;VEDIA;BUENOS AIRES
2355;ARENAZA;BUENOS AIRES
2355;BAYAUCA;BUENOS AIRES
2355;EL TRIUNFO;BUENOS AIRES
2355;LAS TOSCAS;BUENOS AIRES
2355;LINCOLN;BUENOS AIRES
2355;MARTINEZ DE HOZ;BUENOS AIRES
2355;PASTEUR;BUENOS AIRES
2355;ROBERTS;BUENOS AIRES
2356;CORONEL GRANADA;BUENOS AIRES
2356;GENERAL PINTO;BUENOS AIRES
2356;GERMANIA;BUENOS AIRES
2357;CARLOS SALAS;BUENOS AIRES
2357;CARLOS TEJEDOR;BUENOS AIRES
2357;COLONIA SERE;BUENOS AIRES
2357;CURARU;BUENOS AIRES
2357;TIMOTE;BUENOS AIRES
2358;LOS TOLDOS;BUENOS AIRES
2358;ZAVALIA;BUENOS AIRES
236;AGUSTIN ROCA;BUENOS AIRES
236;AGUSTINA;BUENOS AIRES
236;BAIGORRITA;BUENOS AIRES
236;JUNIN;BUENOS AIRES
236;LEANDRO N. ALEM;BUENOS AIRES
236;MORSE;BUENOS AIRES
236;O'HIGGINS;BUENOS AIRES
236;SAFORCADA;BUENOS AIRES
237;BARRIO MI RINCON;BUENOS AIRES
237;FRANCISCO ALVAREZ;BUENOS AIRES
237;GENERAL RODRIGUEZ;BUENOS AIRES
237;MORENO;BUENOS AIRES
2392;30 DE AGOSTO;BUENOS AIRES
2392;BERUTTI;BUENOS AIRES
2392;PELLEGRINI;BUENOS AIRES
2392;TRENQUE LAUQUEN;BUENOS AIRES
2393;SALAZAR;BUENOS AIRES
2394;INGENIERO THOMSON;BUENOS AIRES
2394;QUENUMA;BUENOS AIRES
2394;SALLIQUELO;BUENOS AIRES
2394;TRES LOMAS;BUENOS AIRES
2395;BELLOCQ;BUENOS AIRES
2395;CADRET;BUENOS AIRES
2395;CARLOS CASARES;BUENOS AIRES
2395;MAURICIO HIRSCH;BUENOS AIRES
2395;MOCTEZUMA;BUENOS AIRES
2395;SANTO TOMAS;BUENOS AIRES
2395;SMITH;BUENOS AIRES
2396;CHICLANA;BUENOS AIRES
2396;FRANCISCO MADERO;BUENOS AIRES
2396;GUANACO;BUENOS AIRES
2396;JUAN JOSE PASO;BUENOS AIRES
2396;MAGDALA;BUENOS AIRES
2396;MONES CAZON;BUENOS AIRES
2396;NUEVA PLATA;BUENOS AIRES
2396;PEHUAJO;BUENOS AIRES
2473;COLON;BUENOS AIRES
2473;EL ARBOLITO;BUENOS AIRES
2473;HUGHES;SANTA FE
2473;JUNCAL;BUENOS AIRES
2473;WHEELWRIGHT;SANTA FE
2474;GAHAN;BUENOS AIRES
2474;INES INDART;BUENOS AIRES
2474;SALTO;BUENOS AIRES
2475;CARABELAS;BUENOS AIRES
2475;RAFAEL OBLIGADO;BUENOS AIRES
2475;ROJAS;BUENOS AIRES
2477;ACEVEDO;BUENOS AIRES
2477;ARROYO DULCE;BUENOS AIRES
2477;EL SOCORRO;BUENOS AIRES
2477;FONTEZUELA;BUENOS AIRES
2477;GUERRICO;BUENOS AIRES
2477;JUAN DE LA PEÑA;BUENOS AIRES
2477;M. H. ALFONZO;BUENOS AIRES
2477;MANUEL OCAMPO;BUENOS AIRES
2477;MARIANO BENITEZ;BUENOS AIRES
2477;PEARSON;BUENOS AIRES
2477;PERGAMINO;BUENOS AIRES
2477;PINZON;BUENOS AIRES
2477;RANCAGUA;BUENOS AIRES
2477;URQUIZA;BUENOS AIRES
2477;GENERAL GELLY;SANTA FE
2478;ARRECIFES;BUENOS AIRES
2478;CAPITAN SARMIENTO;BUENOS AIRES
2478;ESTACION VIÑA;BUENOS AIRES
2478;TODD;BUENOS AIRES
249;GARDEY;BUENOS AIRES
249;TANDIL;BUENOS AIRES
249;VELA;BUENOS AIRES
260;25 DE MAYO;MENDOZA
260;AGUA ESCONDIDA;MENDOZA
260;BARDAS BLANCAS;MENDOZA
260;CAÑADA SECA;MENDOZA
260;COLONIA ELENA;MENDOZA
260;EL ALAMBRADO;MENDOZA
260;EL MANZANO;MENDOZA
260;EL NIHUIL;MENDOZA
260;GOUDGE;MENDOZA
260;LA CORTADERA;MENDOZA
260;LA JUNTA;MENDOZA
260;LA LLAVE NUEVA;MENDOZA
260;LA NORA;MENDOZA
260;LAS LOICAS;MENDOZA
260;LAS MALVINAS;MENDOZA
260;LOS CLAVELES;MENDOZA
260;LOS MOLLES;MENDOZA
260;MALARGÜE;MENDOZA
260;MONTE COMAN;MENDOZA
260;ÑACUÑAN;MENDOZA
260;PATA MORA;MENDOZA
260;RANQUIL NORTE;MENDOZA
260;SAN RAFAEL;MENDOZA
260;VALLE GRANDE;MENDOZA
261;AGRELO;MENDOZA
261;ALTO DEL OLVIDO;MENDOZA
261;BARRANCAS;MENDOZA
261;BLANCO ENCALADA;MENDOZA
261;COLONIA / LOTEO NEVOT;MENDOZA
261;COLONIA ITALIA;MENDOZA
261;COLONIA SAN FRANCISCO;MENDOZA
261;COLONIA SUIZA;MENDOZA
261;COLONIA TRES DE MAYO;MENDOZA
261;CRUZ DE PIEDRA;MENDOZA
261;CHACRAS DE CORIA;MENDOZA
261;EL CARRIZAL DE ABAJO;MENDOZA
261;EL CARRIZAL DE ARRIBA;MENDOZA
261;EL CHICAL;MENDOZA
261;FRAY LUIS BELTRAN;MENDOZA
261;JOCOLI;MENDOZA
261;JOCOLI VIEJO;MENDOZA
261;LA PALMERA;MENDOZA
261;LA PEGA;MENDOZA
261;LAS VIOLETAS;MENDOZA
261;LAVALLE;MENDOZA
261;LOTEO CAVERO Y BARRIO LA COLMENA;MENDOZA
261;LUJAN DE CUYO;MENDOZA
261;MAIPU;MENDOZA
261;MENDOZA;MENDOZA
261;RODEO DE LA CRUZ;MENDOZA
261;RODEO DEL MEDIO;MENDOZA
261;SAN JOSE;MENDOZA
261;SGUAZZINI;MENDOZA
261;TERMAS VILLAVICENCIO;MENDOZA
261;UGARTECHE;MENDOZA
2622;COLONIA LAS ROSAS;MENDOZA
2622;CORDON DEL PLATA;MENDOZA
2622;EL ZAMPAL;MENDOZA
2622;EUGENIO BUSTOS;MENDOZA
2622;LA CONSULTA;MENDOZA
2622;LOS SAUCES;MENDOZA
2622;PAREDITAS;MENDOZA
2622;SAN PABLO;MENDOZA
2622;TUNUYAN;MENDOZA
2622;TUPUNGATO;MENDOZA
2622;VISTA FLORES;MENDOZA
2622;ZAPATA;MENDOZA
2624;CACHEUTA;MENDOZA
2624;LAS CARDITAS;MENDOZA
2624;LAS CUEVAS;MENDOZA
2624;LAS VEGAS;MENDOZA
2624;LOS HORCONES;MENDOZA
2624;LOS PENITENTES;MENDOZA
2624;PLAZA DE MULAS;MENDOZA
2624;POLVAREDAS;MENDOZA
2624;POTRERILLOS;MENDOZA
2624;PUENTE DEL INCA;MENDOZA
2624;PUNTA DE VACAS;MENDOZA
2624;USPALLATA;MENDOZA
2625;BOWEN;MENDOZA
2625;CALLE LARGA;MENDOZA
2625;CANALEJAS;MENDOZA
2625;CARMENSA;MENDOZA
2625;COCHICO;MENDOZA
2625;GENERAL ALVEAR;MENDOZA
2625;JAIME PRATS;MENDOZA
2625;REAL DEL PADRE;MENDOZA
2625;VILLA ATUEL NORTE;MENDOZA
2625;VILLA ATUEL;MENDOZA
2626;ARROYITO;MENDOZA
2626;DESAGUADERO;MENDOZA
2626;LA PAZ;MENDOZA
263;CAMPAMENTOS;MENDOZA
263;COSTA DE ARAUJO;MENDOZA
263;CHAPANAY;MENDOZA
263;EL CARMEN;MENDOZA
263;EL PLUMERO;MENDOZA
263;ISLA GRANDE;MENDOZA
263;JUNIN;MENDOZA
263;LA BAJADA;MENDOZA
263;LA DORMIDA;MENDOZA
263;LAS CATITAS;MENDOZA
263;MEDRANO;MENDOZA
263;MONTECASEROS;MENDOZA
263;PALMIRA;MENDOZA
263;PHILIPPS;MENDOZA
263;REDUCCION;MENDOZA
263;RIVADAVIA;MENDOZA
263;RODRIGUEZ PEÑA;MENDOZA
263;SAN JOSE DE TUPUNGATO;MENDOZA
263;SAN MARTIN;MENDOZA
263;SANTA ROSA;MENDOZA
263;TRES PORTEÑAS;MENDOZA
264;9 DE JULIO;SAN JUAN
264;ARROYO LOS TAPONES;SAN JUAN
264;BALDE DE LEYES SSPLD;SAN JUAN
264;BARRIO QUINTO CUARTEL;SAN JUAN
264;BARRIO RUTA 40 EL CERRILLO;SAN JUAN
264;BERMEJO;SAN JUAN
264;BOCA DEL TIGRE;SAN JUAN
264;CAÑADA HONDA;SAN JUAN
264;CARPINTERIA;SAN JUAN
264;CAUCETE;SAN JUAN
264;CIENAGUITA;SAN JUAN
264;DIVISADERO;SAN JUAN
264;DIVISORIA;SAN JUAN
264;ESTACION ALBARDON;SAN JUAN
264;ESTACION ANGACO NORTE;SAN JUAN
264;GUANACACHE;SAN JUAN
264;LA CHIMBERA;SAN JUAN
264;LAS CASUARINAS;SAN JUAN
264;LAS LAGUNAS;SAN JUAN
264;LOS BERROS;SAN JUAN
264;MARAYES;SAN JUAN
264;PEDERNAL;SAN JUAN
264;POCITO;SAN JUAN
264;POZO DE LOS ALGARROBOS;SAN JUAN
264;PUNTA DEL AGUA;SAN JUAN
264;PUNTA DEL MEDANO;SAN JUAN
264;PUNTA DEL MONTE;SAN JUAN
264;SAN JUAN;SAN JUAN
264;SAN MARTIN;SAN JUAN
264;TIERRITAS;SAN JUAN
264;VILLA BASILIO NIEVAS;SAN JUAN
264;VILLA CARIÑO;SAN JUAN
264;VILLA IBAÑEZ;SAN JUAN
264;VILLA MEDIA AGUA;SAN JUAN
264;VILLA SANTA ROSA;SAN JUAN
2646;ASTICA;SAN JUAN
2646;BALDE DEL ROSARIO;SAN JUAN
2646;CHUCUMA;SAN JUAN
2646;ISCHIGUALASTO;SAN JUAN
2646;LA MAJADITA;SAN JUAN
2646;SAN AGUSTIN DEL VALLE FERTIL;SAN JUAN
2646;USNO;SAN JUAN
2647;COLANGÜIL;SAN JUAN
2647;ENTRE RIOS;SAN JUAN
2647;GRAN CHINA;SAN JUAN
2647;HUACO;SAN JUAN
2647;HUERTA DE HUACHI;SAN JUAN
2647;IGLESIA;SAN JUAN
2647;JACHAL;SAN JUAN
2647;LA CIENAGA;SAN JUAN
2647;LAS FLORES;SAN JUAN
2647;MOGNA;SAN JUAN
2647;NIQUIVIL;SAN JUAN
2647;RODEO;SAN JUAN
2647;SAN ROQUE;SAN JUAN
2647;TAMBERIAS;SAN JUAN
2647;TUDCUM;SAN JUAN
2647;VILLA MERCEDES;SAN JUAN
2648;BARREAL;SAN JUAN
2648;CALINGASTA;SAN JUAN
2648;COLON;SAN JUAN
2648;HILARIO;SAN JUAN
2648;TAMBERIA;SAN JUAN
2651;CANDELARIA;SAN LUIS
2651;CAROLINA;SAN LUIS
2651;HIPOLITO YRIGOYEN;SAN LUIS
2651;LA BOTIJA;SAN LUIS
2651;LA CALERA;SAN LUIS
2651;LA CHAÑARIENTA;SAN LUIS
2651;LA MAJADA;SAN LUIS
2651;LUJAN;SAN LUIS
2651;PARQUE NACIONAL SIERRA DE LAS QUIJADAS;SAN LUIS
2651;POZO DEL TALA;SAN LUIS
2651;QUINES;SAN LUIS
2651;SAN FRANCISCO DEL MONTE DE ORO;SAN LUIS
2655;JUAN LLERENA;SAN LUIS
2655;LA PUNILLA;SAN LUIS
2655;LA TOMA;SAN LUIS
2655;PASO GRANDE;SAN LUIS
2655;SAN JOSE DEL MORRO;SAN LUIS
2656;CARPINTERIA;SAN LUIS
2656;CONCARAN;SAN LUIS
2656;CORTADERAS;SAN LUIS
2656;LAFINUR;SAN LUIS
2656;LOS MOLLES;SAN LUIS
2656;MERLO;SAN LUIS
2656;NASCHEL;SAN LUIS
2656;PAPAGALLOS;SAN LUIS
2656;PUNTA DEL AGUA;SAN LUIS
2656;SAN MARTIN;SAN LUIS
2656;SANTA ROSA DEL CONLARA;SAN LUIS
2656;TILISARAO;SAN LUIS
2656;VILLA DE PRAGA;SAN LUIS
2656;VILLA DEL CARMEN;SAN LUIS
2656;VILLA LARCA;SAN LUIS
2657;FRAGA;SAN LUIS
2657;JUAN JORBA;SAN LUIS
2657;JUSTO DARACT;SAN LUIS
2657;LAVAISSE;SAN LUIS
2657;MERCEDES;SAN LUIS
2657;RIO QUINTO;SAN LUIS
2657;VILLA SALLES;SAN LUIS
2658;ANCHORENA;SAN LUIS
2658;ARIZONA;SAN LUIS
2658;BAGUAL;SAN LUIS
2658;BATAVIA;SAN LUIS
2658;BUENA ESPERANZA;SAN LUIS
2658;FORTIN EL PATRIA;SAN LUIS
2658;FORTUNA;SAN LUIS
2658;LA MAROMA;SAN LUIS
2658;LA VERDE;SAN LUIS
2658;LOS OVEROS;SAN LUIS
2658;MARTIN DE LOYOLA;SAN LUIS
2658;NAHUEL MAPA;SAN LUIS
2658;NAVIA;SAN LUIS
2658;NUEVA GALIA;SAN LUIS
2658;UNION;SAN LUIS
266;BALDE;SAN LUIS
266;BEAZLEY;SAN LUIS
266;CAZADOR;SAN LUIS
266;EL DURAZNO;SAN LUIS
266;EL TRAPICHE;SAN LUIS
266;EL VOLCAN;SAN LUIS
266;POTRERO DE LOS FUNES;SAN LUIS
266;SALINAS DEL BEBEDERO;SAN LUIS
266;SAN LUIS;SAN LUIS
266;SAN ROQUE;SAN LUIS
266;VARELA;SAN LUIS
266;VILLA DE LA QUEBRADA;SAN LUIS
280;28 DE JULIO;CHUBUT
280;BLANCUNTRE;CHUBUT
280;CERRO CONDOR;CHUBUT
280;CHACAY OESTE;CHUBUT
280;DIQUE FLORENTINO AMEGHINO;CHUBUT
280;DOLAVON;CHUBUT
280;EL ESCORIAL;CHUBUT
280;EL MIRASOL;CHUBUT
280;GAIMAN;CHUBUT
280;GAN GAN;CHUBUT
280;GASTRE;CHUBUT
280;LAGUNITA SALADA;CHUBUT
280;LAS PLUMAS;CHUBUT
280;LOS ALTARES;CHUBUT
280;PASO DE INDIOS;CHUBUT
280;PLAYA UNION;CHUBUT
280;PUERTO MADRYN;CHUBUT
280;PUERTO PIRAMIDE;CHUBUT
280;RAWSON;CHUBUT
280;SEPAUCAL;CHUBUT
280;TELSEN;CHUBUT
280;TRELEW;CHUBUT
280;YALA LAUBAT;CHUBUT
2901;LAS COTORRAS;TIERRA DEL FUEGO
2901;TOLHUIN;TIERRA DEL FUEGO
2901;USHUAIA;TIERRA DEL FUEGO
2902;28 DE NOVIEMBRE;SANTA CRUZ
2902;CANCHA CARRERA;SANTA CRUZ
2902;EL CALAFATE;SANTA CRUZ
2902;ESPERANZA;SANTA CRUZ
2902;FUENTES DEL COYLE;SANTA CRUZ
2902;JULIA DUFAUR;SANTA CRUZ
2902;LAGO ROCA;SANTA CRUZ
2902;PUNTA BANDERA;SANTA CRUZ
2902;RIO TURBIO;SANTA CRUZ
2902;ROSPENTEK;SANTA CRUZ
2902;VENTISQUERO PERITO MORENO;SANTA CRUZ
2903;ALDEA BELEIRO;CHUBUT
2903;COIHAIQUE;CHUBUT
